Airdrop,a marketing technique in which crypto projects send their native tokens directly to the wallets of their users in an effort to increase awareness and adoption.
Alpha,valuable or insider information; usually regarding the value of digital assets like cryptocurrencies and NFTs; a measure of the return on an investment over and above the return offered by the market or other benchmark.
Altcoin,initially used to refer to any cryptocurrency that wasn’t Bitcoin; altcoin may now refer to any new cryptocurrency with a relatively small market cap. 
Alts,short for altcoins.
Ape,someone who invests heavily into a cryptocurrency or stock; or the act of doing so. This is sometimes a reaction to hype and FOMO; or done without much knowledge of the asset. It should be noted; though; that this is generally a self-assigned term and does not carry a negative connotation. Is it a Planet of the Apes reference? Maybe a reference to the sheer physical strength of apes? The origins are a bit blurry; but one thing is certain — apes together strong.
ATH,All Time High - the highest price an asset has ever had. 
ATL,All Time Low - the lowest price an asset has ever had.
Bear Market,a prolonged period of decline in a financial market.
Bearish,similar to a bear market; this refers to holding a pessimistic view of a market or asset’s value. If you are bearish on a certain cryptocurrency; you believe its value will decrease over time. Those who are bearish may be referred to as bears; sometimes purposely misspelled as beras
Bitcoin,the very first decentralized; peer-to-peer; digital currency; created by the pseudonymous Satoshi Nakamoto in 2009.
Block,a batch of transactions written to the blockchain. Every block contains information about the previous block; thus; chaining them together.
Blockchain,a publicly-accessible digital ledger used to store and transfer information without the need for a central authority. Blockchains are the core technology on which cryptocurrency protocols like Bitcoin and Ethereum are built.
Block Explorer,a tool for browsing information on a blockchain; such as transactions; wallet addresses; market caps; and hash rates.
Bridge,a protocol allowing separate blockchains to interact with one another; enabling the transfer of data; tokens; and other information between systems.
Buidl,meaning “build;” a common intentional misspelling used in crypto circles in reference to the term HODL
Bull Market,a period where market prices are rising.
Bullish,similar to a bull market; this refers to holding an optimistic view that a market or asset will rise in price. If you are bullish on Bitcoin; you believe that its value will continue to rise over time. 
Burn,the process of removing tokens from a cryptocurrency’s circulating supply; usually done by sending them to an inaccessible wallet address. Other digital assets; such as NFTs; can also be burned via the same process. 
Centralized,a hierarchical structure in which authority and control are concentrated within a small group of decision makers.
CEX,Centralized Exchange - a cryptocurrency exchange managed by a centralized business or entity.i.e. Coinbase; Gemini; Kraken
CeFi,Centralized Finance - centralized businesses that participate in crypto.I.e. BlockFi; DCG; Grayscale
Coin,"a cryptocurrency built on its own native blockchain; intended to be used as a store of value and medium of exchange within that ecosystem. i.e. BTC; ETH"
Collateral,any asset accepted as security for a loan; such as a physical asset like real estate; or a digital asset like an NFT.
Cold Wallet ,"an offline device used to store cryptocurrencies. Cold wallets can be hardware devices or simply sheets of paper containing a user’s private keys. Because cold wallets are not connected to the internet; they are generally a safer method of storing cryptocurrencies.
Consensus ,the state of agreement amongst the nodes on a blockchain. Reaching consensus is necessary for new transactions to be verified and new blocks to be added to the blockchain.
Consensus Mechanism ,a process through which nodes on a blockchain come into agreement on a transaction or state of the network. 
Cryptocurrency ,a digital asset designed to be used as a medium of exchange. Cryptocurrencies are borderless; secure; and maintained by blockchains as opposed to centralized banks or governments.
Crypto, a digital asset designed to be used as a medium of exchange. Cryptocurrencies are borderless; secure; and maintained by blockchains as opposed to centralized banks or governments.
DAO,Decentralized Autonomous Organization  - an organization based on open-source code and governed by its users. DAOs typically focus on a specific project or mission and trade the traditional hierarchical systems of legacy corporations for guidelines written on the blockchain.
Dapp,Decentralized Application - an application built on open-source code that lives on the blockchain. Dapps exist independent of centralized groups or figures and often incentivize users to maintain them through rewarded tokens.
Data,in the context of the internet; data refers to a user’s personal information; such as name; age; location; interests; browsing history; device usage; purchasing habits; etc. Web3 aims to protect this personal data and give ownership of it back to the user.
DD,Due Diligence - the process of conducting your own research on a cryptocurrency; stock; or other asset before investing. Doing your own DD is essential; as opposed to making an investment based on what someone else says or does. 
Decentralized,a system that operates without the control of a central figure or authority; and replaces it with a distributed peer-to-peer network.
Degen,initially short for “degenerate gambler.” While this still refers to individuals involved with risky bets; degen may also refer more broadly to anyone involved in crypto and financial spaces. Like with “ape;” this is generally a self-assigned term and does not carry a negative connotation. Degens are a proud people who enjoy ridiculous call options on GME; buying the dip before paying their rent; and occasionally aping into shitcoins. 
DeFi,Decentralized Finance - the ecosystem of borderless; trustless; peer-to-peer financial tools being built on public blockchains without the use of banks. DeFi apps are built to be open and interconnected; allowing them to be used in conjunction with one another.
DEX,Decentralized Exchange  - a peer-to-peer cryptocurrency exchange built on the blockchain. A DEX is run by its users and smart contracts instead of an intermediary figure or centralized institution.
Diamond Hands,a term implying that you are extremely bullish on a certain asset; and have no plans to sell regardless of market volatility; FUD; or extreme drops in price. Someone who holds onto a cryptocurrency or stock as it drops 40% in a day is said to have diamond hands.
Difficulty,"the level of computing power needed to verify transactions and mine blocks on a proof-of-work blockchain."
Difficulty Bomb ,the process of increasing the difficulty of a proof-of-work blockchain in order to motivate the transition to another consensus algorithm (such as proof-of-stake in the case of Ethereum).
DYOR,Do Your Own Research - similar to DD; this phrase is used to remind people to conduct their own investigation into an asset before investing in it. 
EIP,Ethereum Improvement Proposal  - a standard format for presenting a new feature or process to the Ethereum community.
ERC,Ethereum Request for Comments - the standard smart contract outline on which Ethereum-based smart contracts are built.
ERC-20 ,the Ethereum token standard; providing a standardized smart contract structure for fungible tokens. 
ERC-721 ,an Ethereum token standard that allows for the formation of unique tokens; otherwise known as NFTs; or non-fungible tokens. Unlike the ERC-20 standard; ERC-721 tokens have specific properties that allow each to be uniquely identified and valued independently of one another.
ERC-1155 ,an Ethereum token standard which allows for fungible; non-fungible; and semi-fungible tokens to be managed by a single smart contract simultaneously. These are commonly used in gaming and collectible trading to reduce the number of necessary transactions.
Ethereum,a public blockchain serving as the foundation for decentralized applications. Ethereum is a turing complete language; allowing for users to write and deploy complex; self-executing smart contracts which live on the blockchain. 
Fiat,a currency established as legal tender; often backed and regulated by a government; such as the US Dollar. 
Flippening,a reference to the possible event of Ethereum becoming more valuable than Bitcoin; in terms of market cap. DISCLAIMER: Please do not mention the flippening to Bitcoin maxis. They will not think it is funny; and they will proceed to explain why Ethereum is a shitcoin.
FOMO,Fear Of Missing Out - a feeling of anxiety; stemming from missing out on an opportunity. In investing; this usually coincides with investors buying an asset after it has already seen a considerable increase in price; hoping to get in and out before a pullback occurs. This is known as “FOMOing in” or “aping in.”
Fork,a change to a blockchain’s protocol. When these changes are minor; this results in a soft fork. When the changes are more fundamental; this may result in a hard fork; leading to the formation of a separate chain with different rules.
Fractionalize,the process of locking an NFT into a smart contract; and then dividing it into smaller parts which are issued as fungible tokens. This lowers the price of ownership and allows artwork and other digital assets to be owned by a community.
FUD,Fear; Uncertainty; and Doubt - news around an asset that seems negative; but turns out to be false or blown out of proportion. 
Full Node,a blockchain node which stores the blockchain’s complete history; as well as verifies and relays transactions.
Fungible,interchangeable; exchangeable with something else of the same kind.
Gas,a fee paid by a user to conduct a transaction or execute a smart contract on the Ethereum blockchain. This fee is dependent upon the transaction’s complexity as well as the current demand on the network.
Genesis Block,the very first block of a blockchain network.
gm,simply meaning “good morning;” gm is a common greeting used in crypto circles
GMI,short for “gonna make it.” This term is frequently thrown around on Twitter to voice support for a project or person.
Gwei,a denomination of ether used as the unit of measure for Ethereum gas prices. 10^9 gwei = 1 ether.
Hard Fork,a fundamental change to a blockchain that is not compatible with the existing protocol; requiring the formation of a new chain.
Hashing,the process of taking an input of any size and producing a corresponding fingerprint of a fixed-length. Hashing allows a set of data to be secured; stored; and recalled using a unique identifier code. This is the backbone of blockchain technology; allowing data and transactions to be verified and stored in a secure manner.
